am looking for a place to to stay that has cheap price range it should be in a type of hotel|Okay, do you have a specific area you want to stay in?
Sounds great! Can you please book me a table for 1 on Saturday at 15:30?|Your booking was successful. The table will be reserved for fifteen minutes and your reference number is 4MLSPE1H.
Great!  That is all I needed.|Great, I hope you enjoy your stay!
I'm looking for the cambridge and county folk museum.|the cambridge and county folk museum is located 2-3 castle street
Thanks, can you also give me the entrance fee, phone number, and postcode?|The fee is 3.5 pounds, the number is 01223355159, and the code is cb30aq.
I also need a place to stay.|Okay. Would you like to narrow it down by the area, price range, or type?
Do you have any 0 star places?|I have 2 guesthouses and 1 hotel that are 0 stars, do you have a preference or want a particular area of town?
Is there one in the moderate price range?|Yes, Cityroomz is in the moderate price range. Would you like to make a reservation?
Yes, that would be great. There will be 7 of us.|I'd be happy to make a reservation for the 7 of you.  I will need to know what day to start your reservation and for how many nights, please.
I'd like to start on Friday please and stay for 3 nights.  I will also need the reference number.|Your reservation for 7 people at Cityroomz this friday for 4 days 3 nights was successful. Your Reference number is : SOF4G9MY. Anything else I can do for you?
That will be all, and thanks so much for your help.|Have a nice day.
Looking for a place to eat in the city center.|There are many options to choose from. Do you have a type of food in mind?
I'd like to have some Chinese food.|That narrows down the restaurant choices to 10. Is there a price range you would like to stay in?
I am looking for a moderately priced place to eat, I am also looking to book a room in the bridge guest house hotel.|Which dates will you be staying at the Bridge Guest Room house?
Before I commit I have a few questions. What area is the hotel located in?|The hotel is in the south area.
Does it provide free parking?|Yes, free parking and free wifi!
OK, 2 questions. 1 - What are the moderately priced restaurants in the center of town; and 2 - how many stars does the Bridge Guest House have? Thanks!|The Bridge Guest House is a 3 star lodging.
That was all the questions I had. Thank you very much for helping me.|I'm happy I could help you today. Have a wonderful day!
I would like to book a reservation at the cambridge lodge restaurant|I can assist you with that. What day and time are you interested in reserving?
I'm sorry, I'm just looking for information. Could you tell me the area, food type, and post code for that restaurant?|It is a european place on the west side the postcode is cb30dq.
I alkso need a place to stay,what would you offer in cheap price range?|I have two cheap places on the west side near the restaurant. One is a guesthouse and the other is a hotel. Would you like to book one of them?
I would like the guesthouse.|How many people and the number of days needed?
I need it for 3 days for 2 people.|Also what day are you staying?
I do not have a specific day at this time.|Well, the name of the guesthouse is Finches Bed and Breakfast. The phone is 01223276653. Do you need anything else?
Could you please give me the address and postcode?|Yes phone is 012233276653   and postcode is cb30nd
i am looking for places to go in town. The attraction should be in the centre and should be in the type of entertainment.|Sure, there are plenty of places.  Would you like a particular kind of attraction?
What do you recommend?|We don't have an entertainment type attraction in town centre, maybe something else?
How about a college?|i have 15 colleges in the centre of town. did you want to pay admission or would you like to enter free?
Either is fine, can you suggest one for me to visit?|I would suggest christ's college.
Could I have the address please?|christ's college is nice their address is saint andrews street and it's free to get in
Okay, great. I'm also looking for a hotel with free parking and a moderate price.|Which area are you looking for?
The area does not matter.|Okay how about the acorn guest house in the north?
I actually prefer a hotel, rather than a guesthouse.|We have two moderately priced hotels in the city: Ashley Hotel and Lovell Lodge, both offering internet and parking. Would you like to book in either hotel?
Yes, please book the Ashley Hotel. I need a booking for 7 people for 4 nights, starting from Friday.|Okay, I've got that booked for you.  Your reference number is 64QSFKBM.  Is there anything else I can help you with?
I would like a taxi to take me from Christ's College to the restaurant.|What time will you like to leave or arrive by?
I would like to leave Christ College by 15:15.|look out for a white honda. the contact is 07153999224
Thank you so much, that's all I need today.|thanks for using our service and have a great day
You have a great day too|Thanks. And if anything more comes up that you'd like help with or information about, don't hesitate to reach out again! Goodbye.
Hello, I would like some information on a hotel called The Bridge guest house, please.|It's a moderately priced 3 star guesthouse located in the south. Would you like me to make a reservation for you?
Please book a room for 2 people starting on Saturday for 3 nights. I will need the reference number too. Thanks.|Your booking was successful, your reference number is:  OUF2UF6C.
Thank you. I also need to find entertainment in the south. What is available?|There are two leisure parks in that area, if you are interested in those.  Otherwise if you had something more specific in mind I'd be more than willing to check.
That would be great. I need the phone number, address and entrance fee.|Tenpin can be reached at the number 08715501010. The address is cambridge leisure park, clifton way, and entrance fee is unlisted
Okay, now I'd like a taxi to take me from the hotel to Tenpin. I want to leave at 07:30. Please send the car type and contact number|I have you booked into a taxi, you can call them at 07622933733.
I will need to know the car type.|The car that will be arriving is a grey bmw.
Thanks. Well, I guess that's all I need today. Thanks for your help. Goodbye.|No problem, thanks for letting us help you plan your trip. Have a great time!
I am looking for a college in town|Sure, which part of town are you interested in?
Area does not matter. You pick, just let me know the area and postcode please.|Well I have Christ College in the city center and their postcode is cb23bu.
Do you have any other suggestions?|There is also churchill college on the west side. Their postcode is cb30ds.
Thank you. I also need a hotel called home from home.|Home from Home is a guest house located on Milton Road in the north area. Do you need additional information?
I just need a reference number for the reservation.|what dad do i reserve and for how many?
i don't need any dads reserved. i already have one.|I need to know what day you will be arriving and how many nights and how many people will be staying.
there will be 3 people and 4 nights from thursday|Booking was successful. Reference number is : F9WOFY5C. Anything else I can help with?
No that will be all thank you.|You are welcome, enjoy your stay.
I will be visiting Cambridge and I need a list of the main attractions in the south.|I have 8 entries for entertainment in the south.   Do you have a particular type that you are looking for?
I don't have a particular type.  What would you recommend?|In my opinion, out of the options I think the theatre we have in the south would be my choice. It's called the Junction. Would you like more info?
What is their address?|They are located on Clifton Way. Is there anything I may help you with?
Yes I am also looking for a 2 star guesthouse to stay at.|Okay, how about the ashley hotel that is in the moderate price range?
Is it a 2 star or better?|Ashley hotel is a 2 star hotel. Would you like to me to book it for you?
No thank you. I just need the post code.|The post code is cb41er.
Thanks. I will also need a taxi to take me from the Junction to the Ashley Hotel. I would like to leave the attraction by 21:15.|I booked the taxi for you. It's a black Honda and the contact number is 07690147877. Will that be all?
.
Yes. Thank you.|Thank you for using are services and have a great day.
i am new here. i need a place to stay with free wifi|Okay! What price range are you looking for?
cheaper the better free wifi too|I have 10 locations with free wifi in the cheap price range. Do you have a particular area in mind?
No particular area, whatever you suggest.|Okay well I suggest the Alexander Bed and Breakfast in their center. Would you like me to make a booking for you?
Yes please book 2 nights for 5 people, starting on Saturday.|I have booked the Alexander Bed and Breakfast for 2 nights starting on Saturday for 5 people.  The reference number is UCIOWNWV.  Anything else I can help you with?
That's it. Thank you, goodbye!|Have a great day!
I am coming to Cambridge and need a place to stay. Is there a hotel in centre with free wifi?|I recommend the university arms hotel on regent street. Would you like me to book your stay?
Is that a guesthouse? I would like to stay in a guesthouse please. It doesn't need to have free parking.|No it isn't. But the Alexander Bed and Breakfast and El Shaddai are both guesthouses that fit what you are looking for. Are you interested?
El Shaddai sounds interesting. Can you tell me more about it?|El Shaddai is a cheap guesthouse in the centre of town. the phone number is 01223327978. Can I be of further help?
Yes, please. I'd like a reservation for 7 people for 4 nights starting on Tuesday.|You're booked at the El Shaddai, ref #XS30YDOA. Can I help you with anything else today?
Nothing else. Thank you for getting us booked.|You're welcome. Have a great day!
actually, i also need a chinese restaurant.|I can help you with that. In what area of town and price range would you like to dine?
I am looking for the south side and cheap please.|The Lucky Star will fit your needs. Would you like me to make you  a reservation?
yes the same group of people on the same day at 13:30 please, sorry for being such a pain today|Okay.  I have made reservations for 7 at the Lucky Star Restaurant for Tuesday at 13:30.
Thank you. What is the reference number?|Booking was successful. The table will be reserved for 15 minutes. Reference number is : 3GOBXA42.
Ok great, Thank you. That is all that I need.|You're welcome! Have a great day!
I was looking for a hotel in the center of town that offers free parking.|I found the Gonville Hotel and University Arms Hotel that meets your criteria.
Is the hotel expensive, and is it a guesthouse?|The Gonville Hotel and University Arms Hotel is expensive, but it is not a guesthouse. The guesthouses that meet your criteria are cheap.
Okay, how about any hotels that are expensive that has free parking.|There are no hotels that match that requirement.
How about a hotel type instead of guesthouse?|There are 2 results for expensive hotels in town centre. One is the gonville hotel, the other university arms hotel. Would you like to book one of these?
Yes please book Gonville Hotel for 2 people for 4 nights starting tuesday|I am sorry. That hotel is unavailable for your requested stay. Would you like to pick a different day or shorter stay?
Can you try 3 nights instead?|I have booked the Gonville hotel for 3 nights. The reference number is 4QYJH7Y5. Can I help you with anything else?
Yes, are there any modern american restaurants in the center of town? Something expensive.|Sorry, but there aren't any restaurants that meet those criteria. Something less expensive, perhaps?
How about a modern european restaurant?|Yes, I can recommend darrys cookhouse and wine shop. Would you like me to make a reservation?
Yes I want a reservation for 2 people at 14:30|Which day would you like the reservation for?
Tuesday please. Also I need the booking reference number when you are done please.|Booking confirmed! The reference number is Z7E6UORT. Can I help you with anything else today?
No that's all. Thank you.|Thank you very much for using the Cambridge Towninfo Centre. Have a wonderful day!
I'm looking for a place to stay.  Can you help me find one?|What area of town would you prefer?
I would like to stay in the north. Wi-fi and at least four star reviews are also important.|That narrowed it down a bit. Do you have a preference on the price range? or the type of accommodation?
Not really, no. Can you give me the phone number for your favorite place?|Acorn guest house , the phone number is 01223353888.
Thanks, I also need to train form broxbourne to cambridge on sunday.|What time would you like to depart?
Depart does not matter but I need it to arrive by 12:45.|I have train TR6774 that leaves at 10:32 and arrives in Cambridge by 11:32. Will that work for you?
Sounds like it.  What is that travel time exactly?|60 minutes is the length of the train ride
Thanks. That's all I need. Good-bye.|Thanks and enjoy !
Hi, I'm looking for a place to stay with free parking and zero stars.|I have 2. City centre north b and b in the north and the el shaddai in the centre. Which one would you prefer?
the el shaddai in the centre|Ok no problem, when would you like the room booked for?
I need it for four people and four nights starting Monday.|Booking was unsuccessful. Want to find another hotel?
Lets try City centre north b and b, if that is not successful, any hotel in the same price range|The A and B was indeed successful and your reference number is II677Z30.
Thank you so much for your help.  Have a nice day.  Bye.|You are very welcome. Thank you for contacting the Cambridge TownInfo centre. Good bye.
I would like to find out information about a hotel called Warkworth House.|Warkworth house is a guesthouse in the east area.  It is moderate pricing with 4 stars.  It offers free parking and internet. Would you like a reservation?
Yes please. It'll be for 4 nights.|I will go ahead and book your room.
Thank you.  Can I get a reference number for the booking?|In order to book, can you tell me the number of guests, number of nights and the day of the week you want to start your stay?
I need to book it to 2 people for 4 nights starting from wednesday.|Okay the booking was successful. The reference number is HZ6B38TH.
I'm also looking for a train. I'll be traveling back to Broxbourne on Friday.|Will you be leaving from Cambridge.
yes i will  be leaving from Cambridge.|What time would you like to leave around?
I need to find a train that goes to stevenage and arrives by 17:30.|Will you be departing from cambridge?
Yes, I will be departing from Cambridge. I also need to leave on Tuesday.|Sure I have a train arriving at 14:10 on a Tuesday. Would you like to book a seat?
Yes please. May I have the departure time, train id, and price?|TR0743 is leaving cambridge at 13:21 and the cost is 12.80 pounds, how many tickets will you need?
I just need to know how long the travel time it.|The travel time is 49 minutes.
I would also like to find an expensive guesthouse.|I don't have any guesthouses listed in that price range. Would you like something in the moderate price range possibly?
Sure check moderate for me.|Might I recommend the Acorn Guest House? It's a moderately priced, 4-star guesthouse in the north area.
Sounds great, can you please book me for 5 people and 4 nights starting on friday?|Okay, I made you a reservation at the Acorn Guest House. Check in is Friday for a party of 5 and your reference is CGDK1YT1. Will that be all today?
Great.  That is all.|Ok! Have a great day!
Hi, I'm looking to book the Hamilton Lodge in Cambridge|When would you like to book a room at Hamilton Lodge? How many guests will there be?
I want a room on Sunday for 2 people.|For how many days?
Five days. Does the room have internet? Also, what is the hotel type?|This is a guesthouse, is that okay?
Yes,that's okay. Please get me their phone number. Also, find out if they have internet or not|Phone number is 01223365664 and yes it has internet.
Great! I also need a college to go see in the centre. I need the phone number and entrance fee to one you recommend.|Gonville and caius college is great to visit. They are free to visit and their number is 01223332400. Is there anything else I can help with?
Oh great. Can I also get you to book me a taxi from the college to my hotel? I want to leave by 22:30.|Booked car type is black lexus. Contact number is 07352412792. Anything else?
That's all I needed. Thanks. Bye.|Thanks for using our service today have a great day.
Are there any hotels in the centre that have free parking, please?|There are two hotels available: the Gonville Hotel and University Arms Hotel. Would you like more information on them?
Does either one have a star of 4?|University Arms Hotel is rated 4 stars. Would you like reservation?
Do they have internet and if so what is the address there?|They do have free wifi. They are located on regent street.
Thanks. I'm also looking for a train from cambridge to london liverpool street?|I have 70 trains.  What day and time are you wanting to travel?
Um, Sunday but after 11:15|okay how many tickets please?
3 people, please. And if I can also get the reference number.|I have booked 3 tickets on the TR9025 train leaving at 11:59. Your Reference number is : 9JASQYBJ.
Will that be all today?
Yes, thank you for your help!|You're welcome. Thank you. Goodbye
Do you know what this city might have in entertainment venues?|There are two entertainment venues in the east, two in the south and one in the west area of town.  Do you have an area preference?
I don't care about the area.  If you were me, which one would you enjoy the most?|I would pick whale of a time in the west, located at Unit 8, Viking Way, Bar Hill, postcode cb238el. It is always an adventure there!
Is there a place to stay with a moderate price range and free parking?|Which area and type of lodging do you prefer?
I'm looking for a place that is moderately priced and has free parking.|The Acorn Guest House is a great little 4-star place on the north side. They're moderately priced and have free parking and internet. Would you like a room there?
That is all the information I need. Thank you!|You're very welcome. Have a great trip!
Wait! I do want the hotel reservation. Can you book it for me on Thursday for 4 nights for 4 people?|Your room at the Acorn is booked, ref#94RRN05R. Is there anything else I can help you with today?
No that is all the info I need. I'm sure of it this time ha ha. Thank you!|you're welcome to use our services anytime
List all thursday train times heading to cambridge.|There are 202 entries, can you please be more specific?
Okay, I guess that would be quite a lot of typing. How about this: I need a train leaving from Leicester sometime after 21:45 on Thursday.|What time would you like to leave?
Anytime after 21:45 is good.|I have train TR8149 leaving at 22:09,is that okay?
That is fine. Can you give me the price and travel time, please?|It is 37.80 pounds and travel time is 105 minutes. Do you need anything else?
I need a train leaving Cambridge on Sunday.|We have quite a few options available to you, where are you heading to?
I need to arrive by 21:30 and go to London Liverpool street.|TR9732 departs Cambridge at 19:59 and arrives London Liverpool Street by 21:27. Would you like for me to book that?
Yes, for six people, please. I will need a reference number, as well.|I have completed the booking. The total fee is 79.67 GBP and your reference number is 58YNZ8EQ.
I also need a place to stay.  I would like a hotel with a 3 star rating and free parking.|There are 2 expensive hotels and 3 moderate price guesthouses meeting your needs. Does the area matter to you? Or the type of lodging?
I'm just looking for now. Can you recommend a hotel?|Okay the gonville hotel looks good, it's in the city centre. Would you like a booking?
I want to confirm with you that the gonville does not need to include internet.|The Gonville does include the internet.  Is that alright?
Yes, and thank you kind person for helping me!|Shall I book you a room then?
Yes, can I get the address please?|The address is gonville place. Can I help you with anything else?
No thank you.  I appreciate the help today.|You are very welcome. Have a wonderful visit!
Goodbye!|Goodbye and have a safe trip!
Got any fish and chip shops on the westside?|There doesn't seem to be any seafood restaurants in the west. Would another area work for you?
I meant british food with that.|There are three restaurants in the westside that serve british food.  Do you prefer a moderate or expensive price range?
I want one in the expensive range.|Travellers Rest is located on Huntingdon Road. Would you like reservations?
yes for 7 at 17:15 on wednesday, I'll need the reference number then too please|I have a table booked for 7 people at 17:15 on Wednesday, your reference number is 4WRE7J72.  Can I help with anything else?
yeah i also need a place to stay|I'd be happy to help. I am showing 33 hotels. Perhaps we can narrow it down a bit. What area of town would you like to stay in?
Any area of town would be fine. I am looking for a guesthouse in the expensive price range.|I'm sorry, there are no expensive guesthouses in our listings, are you willing to consider other price ranges?
how about one that is in the type of hotel.?|I have the university arms hotel located in the centre.
That will work.  Can I book that for 7 people on Wednesday? We will be there for 2 nights.|Sure I got your reservation and your reference number is 09B5QSH5.
Thank you! I will also need a taxi to travel between the two places.|Ok great and what time do you prefer?
I need to be at restaurant by 17:15|A grey volvo with pick you up and the contact number is 07701301770. Is there anything else I can assist you with?
Thank you so much for your help.|Can you book it for me and get a reference number ?
Yes, I was wondering if you could help me find a guesthouse in Cambridge.|Shouldn't be an issue. Any further preferences?
Yes, I would like a 4 star guesthouse that is moderately priced with wifi included.|I have about 11 different gueshouses that fit what you are looking for. Can you tell me the preferred area you wish to stay in to help narrow it down?
I don't care about the area so much, I just need free wifi and to know whether they have free parking.|Sure, how about acorn guest house they are moderate prices and have free parking and wifi?
How many star does it have?|Acorn Guest House is a 4 star guesthouse, moderately priced in the north, with free wifi and parking. Would you like me to book you a room?
Not at the moment. But I do need information on a train  from Leicester to Cambridge on Sunday leaving after 12:00 noon.|I have a train leaving at 12:09 and then every hour after up to 23:09. Do you have a preference?
Can you give me the price for the train leaving at 12:09?|Yes, it's 30.24 pounds.
Ok, and what was the address of the Acorn Guest House?|The acorn guest house is at 154 chesterton road. Anything else I can get you today?
I also need a train leaving sunday after 12:00|Ok, I have booked a train for you leaving Leicester destined for Cambridge on Sunday at 12:09 arriving by 13:54. Your reference number is R9Q27A3Z.  Have a pleasant day.
I am looking for a boat in town.|OK. There are four different boats to choose from.  What area of town were you thinking?
It doesn't really matter. Can you recommend one?|Camboats is in the east of town and I'd recommend them
Sounds good.  What is their postcode number as well as their phone number?|I can provide that for you. The Camboats postcode is cb58sx. To reach them, their phone number is 01223902112. Did you need any other information?
Can you look up information for a hotel called Acorn Guest House?|The Acorn Guest House is priced moderately, in the north area of town, has internet, parking, located at 154 Chesterton Road, phone 01223353888. Postal code is cb41da. Does that help?
That sounds perfect. Would you please book a room for two starting on Thursday?|Sure, how many nights would you like?
Actually, lets not book a room yet. Can you tell me if they have internet? Also the address and the area of town it is located in.|Yes, of course.  The Acorn Guesthouse is in the north part of town and can be found at 154 Chesterton road.  They offer free internet.
Wonderful, thank you. I think that's all I need.|Sounds like a plan. Would you like me to book it now?
No thank you.  I think that I am good for now.|Is there anything else that I can do for you?
No, that is all for now. Thank you!|OK, have a nice day.  Good bye.
Can you help me find a train leaving Tuesday from Norwich? Thanks.|I have about 19 different trains. Do you have a certain time you would like to leave after or arrive by?
I want to leave after 20:15.|At 20:16 a train leaves for Cambridge duration of which is 79 minutes.
I would like to making a booking for one please.|Booking was successful, the total fee is 17.6 GBP payable at the station. Reference number is : UK9225HY. Is there anything else I can do for you today?
Can you help with info on places to stay?|Yes, I can help with that.  What are your preferences of area, price range, and type of accommodation?
I would like a really nice place because I'm celebrating my 10 year anniversary.  Something cozy and romantic.|That sounds great, I want to find you the perfect place!   Is pricing a factor, do you have a part of the city in mind?
Price is no concern for me. I need it booked for 1 person for 4 nights starting on Tuesday please.|I need more information please. What area of town?
I don't need a specific area. What do you recommend?|The allenbell in the east is a cheap hotel with 4 stars.
Does it have free wifi?|Allenbell does indeed have wifi. Would you like a reservation?
Yes please. I'm celebrating my anniversary with myself, so I need a room for 1 starting Tuesday for 4 nights.|Booking was a success! Your reference number is: XJGR0GCN.
I want to find out more about the arbury guesthouse.|It is in the north, in the modrate price range, has a 4 star rating, internet, and free parking.
i want to book it for 8 people and 2 nights starting tuesday|Do you need a reference number?
Were you able to book it for tuesday?|Yes I was able here is the detailed information-Booking was successful.
Reference number is : MT6Q7YNE.
Great. Do you also have any entertainment venues in the east?|Yes, there are two, would you like more information about them?
Yes I would please.|Cherry hinton hall and grounds is located at cherry hinton road.  The phone is 01223446104 and postcode cb18dw.  No entrance information is provided.
Ok, that is all of the information I need. Thank you!|Have a nice trip! Thank you for using the Cambridge TownInfo centre.
I am looking for a place to stay. The hotel should be in the west and should be in the cheap price range|the cambridge belfry is a hotel in the west in the cheap price range. it has 4 stars and free internet and parking. will that work for you?
no, I need a guesthouse.|How about finches bed and breakfast?
id apreciate if thats offered|Finches Bed and Breakfest is a 4-star guesthouse in the west in the cheap price range with free internet and parking. Would you like to book a room?
I'll contact them myself thank. Can you tell me their address, including postcode?|Their address is 144 thornton road	 and the postcode is cb30nd
I am grateful for all your assistance. Wonderful service. Goodbye.|Thank you, is that all?
Are there any theatres nearby?|There are 4 theater's in the centre area and one in the south. Would you like more information on any of them?
Could you please recommend one and give me the phone number?|I recommend the mumford theatre in the centre. Their phone number is 08451962320. Is there anything else I can help you with?
I also need to find a guesthouse to say in. Preferably a 0 star one.|city centre north b and b is a zero star guesthouse.  Would you like me to book a room for you?
I'm guessing that's in the centre area of town? I actually need a guesthouse in the south with free parking.|I'm sorry but there are no guesthouses in the south with zero stars and free parking. There is a 3-star guesthouse called bridge guest house. Are you interested?
No let's try looking in the north instead|City centre north b and b is in the north area and has free parking. Would like reservations?
Yes, please 5 people for 5 nights on Saturday.|Have you booked, 9L1SUXC3 is your confirmation. Anything else?
Just a taxi leaving the theatre by 10:45 and going to the hotel.|Your ride will be there at 10:45. They will be in a black Audi and their number is 07262280207.
Can I get a shuttle back to the airport?|A shuttle? We don't provide those, we do have trains however.
I mean I would love to have a taxi|I've already booked you a taxi - the information is above. Is there anything else I can help you with today?
Nope, that's all I needed. Thanks, and goodbye!|Alright, glad to be of service. Bye!
I need a hotel at the center of town to stay in|The Cityroomz hotel is in the center of town. Would you like to book it?
Yes, that would be great.|When would you like to book that for?
I would like to book it for tonight, please.|We have received your booking and you are all set. Enjoy your stay.
I'd like to know the price range, address, and phone number please.|It's moderately priced, so you don't have to worry about breaking the bank. And it is located at sleeperz hotel, station road. You can give them a call at 01223304050.
Okay thanks. I am also looking for a restaurant. Can you help me?|Of course, there are 110 restaurants in town. Do you have a desired food type or price range?
I would like it to be in the expensive price range and in the same area as the hotel.|Sure, there are 33 expensive restaurants in the town centre. Do you have a cuisine preference?
No preference however I just need something for 13:45 on Tuesday|How does the Bedouin sound? They serve African cuisine. Also how many people would you like to book the table for?
I need a table for five people please.  I don't care which kind of food.|I am sorry Tuesday at 13:45 is unavailable.  Is there another day or time that will work for you?
12:45 will work for me.|You are booked for 12:45 and your reference number is 54D9CRE9. Can I help you with anything else?
Not at this moment. Thank you so much for all of your help.|You are quite welcome. Enjoy the remainder of your stay!
I need some help finding an attraction. I have the name here.|Sure, what is the name you are looking for?
The place is called peoples portraits exhibition at Girton College.  Could I get the area, postcode, and address for this?|It is in the West. Girton College, Huntingdon Road. Postcode cb3ojg. Do you need anything else?
What can you tell me about this hotel, the bridge guest house?|It is a located in the south area of town.  It's a 3 star guesthouse with free internet and parking located at 151 Hills Road.
Sounds good I want to make a booking for 2 people and 5 nights starting from friday.|I will book it for you,is there anything else I can do for you ?
Hi, can you help me find an upscale restaurant in Cambridge that is centrally located?|Yes there are 33 in the area you are looking for. They are all pretty expensive and are closely located.
Are any of those Ethiopian restaurants?|There is an upscale African restaurant called Bedouin. Would you like me to book it?
yes, could you make reservations for three please?|I would be glad to. I need to know the day and time you would like the reservation for, please.
Actually, book the table for 6 people on Tuesday at 13:30. I will need the reference number for this, please.|Your party of 6 has been booked successfully for 13:30 on Tuesday. The table will be reserved for 15 minutes. Your reference number is 7E4VIQAY
I also need a hotel in the same area and price range as the restaurant.|There are two expensive hotels in the centre of town. The Gonville hotel is a 3 star, and the University Arms is a 4 star. Which would you like?
Does the Gonville hotel have free parking?|Yes both options have free paring and internet. Would you like to book one of these?
Yes I would like to book the Gonville hotel for 3 nights for 6 people starting from Tuesday please. I will need a reference number.|I've booked your stay at the Gonville, your reference number is 44ARPHOW.  Can I assist you with anything else?
No thank you, have a great day.|Thank you for using our system.
I'm planning a trip to Cambridge and looking for a train to get me there. Can you help me find one please?|We have many trains to cambridge, where are you departing from?
I am departing from cambridge and I would like to go to london kings cross. I would like my train to arrive by 09:15 and leave on friday.|The TR8026 arrives in London Kings Cross by 07:51, can I book a ticket for you?
Yes please book a round trip ticket for 10 people.|Okay, the train is booked.  The fee is 236 GPB and the reference number is EM9QISG0. Can I help you with anything else?
I need a hotel with free parking and free wifi.|I have many hotels that fit those needs, is there a certain area of town you wanted me to book you near?
It does not matter but I would like it to have a star rating of 0.|There are no hotels that fit that criteria. Would you like me to look for another star rating?
What about a guesthouse?|There are 2 choices. City Centre North B and B and El Shaddai. Would you like to make a reservation?
What is the price range of those hotels?|Both guesthouses are in the cheap price range. Do you want me to book one?
Not at this time. Thank you for all the information. I'm all set. Good bye.|Have a nice day, goodbye
I want to find a hotel to stay at that has free wifi and is moderately priced. Can you help?|Is there a particular area of town that you prefer?
Yes, I'd like to be on the east side.  The hotel should have a 4 star rating please.|There are 3 guesthouses that meet your needs. 2 of them have free parking along with the Internet, and one does not. Carolina Bed and Breakfast is very nice.
Ok, Carolina B&B it is. Can you book me a room for 1 person staying 5 nights on Sunday please?|Your booking was successful and your reference number is BCT54NA8. May I help you with anything else today?
Yes I also need a train. Can you help me?|Definitely.  When were you wanting to travel?
I need it to go to cambridge and should depart from leicester.|Im getting the info up now, what date and time?
I'd like to arrive by 13:45 on sunday.|The TR8285 arrives by 12:54. Would you like me to book this one?
I don't need a ticket just yet. Can you tell me the total cost per ticket, though?|All available tickets cost 30.24 pounds each. What else can I do for you?
That will be all for the day, thank you.|Enjoy your trip.
I hope to.  Thanks again.  Bye.|Have a nice day.
I am looking for a hotel called a and b guest house.|That guest house is moderately priced and located in the east. Would you like to make a reservation?
Do they provide free parking and internet?|They have free internet offered but not parking.
That's fine I guess. I need to reserve a table at an expensive restaurant in the centre part of town, can you help me?|I show 33 expensive restaurants in the Centre area of town. Before we narrow down your restaurant selection, let's complete your reservation with A and B Guesthouse.
can i please get the address, postcode, and food type|Ok, I can book you at Bedouin - address is 100 Mill Rd City Centre, CB12BD and they serve African food.
Thank you that is all I needed today.|You're quite welcome, have a wonderful time in Cambridge!
I'd like to stay in a guesthouse that offers free parking.|I have several guesthouses that offer free parking.  Is there a particular price range you are interested in? What area of town are you interested in staying?
Yes, I would like an expensive guesthouse please! The area does not matter.|There are no expensive guesthouses in the area.  Would you like a moderately priced guesthouse?
I want a guesthouse with a 4 star rating.|Acorn Guest House as a 4 star rating and in the moderate price range. Would you like to book this one?
I guess. I'll need a room for 8 people, for two nights starting on wednesday.|I was able to book your party of 8 into Acorn Guest House on Wednesday for 2 nights, Reference: tgma40ey. Can I help more today?
I am also looking for some international food.|There are three restaurants that serve international food, are you looking for one in a particular area or price range?
Do you have any in the East?|We have one and it's called The Missing Sock. Would you like a booking.
Yes, please book at 18:45 on the same day, Wednesday, for the same number of people, eight.|ok thank you i will send you the booking receipt as soon welcome
Can you help me locate a hotel to stay at that has free parking and a 4 star rating?|Okay I've got three options here. Would you like a cheap or an expensive price range?
Oh, expensive please.  I do hope it is a guesthouse?|Unfortunately they are both hotels.
Oh.  I would really prefer a guesthouse.  How about the moderate price range?|I have 9 guesthouses in the moderate price range, do you have a location preference?
The location isn't important. I need to book it for Friday, please.|Okay, I recommend The Acorn Guesthouse. Would you like me to book there?
Yes. I will be staying 5 nights starting Friday.|NO problem. How long are you staying?
I'll be staying for 5 nights.|Booking was successful. Reference number is : GQPN80PK. Is there anything else I can assist you with today?
Im also looking for the cow pizza kitchen and bar. Whats the address for it?|its address is Corn Exchange Street. what else can i do for you?
I need it's price range please|They are moderate, it is a gastropub, in case you need them, the postal is cb23qf and the phone number is 01223308871, can I assist with anything else?
You have helped me with everything I need. Thank you.|Anytime.  Enjoy your visit.
I'm looking for a place to stay that has free parking.|There are quite a few hotels with free parking! Where in the city would you like your hotel to be located?
I am planning my trip to Cambridge. I am looking for a cheap place to stay the hotel should be in the cheap price range and I want the hotel to be in the type of a guesthouse.|There are a few guesthouses available.  What area would you like to stay in?
Area doesn't matter to me, but I would like it to have free parking. Tell me about your favorite?|allenbell is by far my favorite with free parking.
Great, can you book a room for Thursday?  I will be alone and need to stay for 3 nights.|Hmmm, it looks like I can't book that right now, would you like to shorten your stay, or tray another day?
Can you try for 2 nights instead?|Booking was successful. Your reference number is HRAL8TCK. Can I help you with anything else?
Yes.  I need a train that leaves Cambridge and goes to Bishops Stortford.|What day would you like to travel? And do you have a preference for time of day?
I'd like to travel on Saturday and arrive by 19:30.|Train TR0969 will arrive by 18:07 would you like me to book it?
I'm in need of a place to stay for the night, I'd like it to be in the centre of town and have at least a 4 star rating.|There are two. One is cheap, one is expensive. Which do you prefer?
Either as long as it includes free parking and internet is optional.|Both alexander bed and breakfast and university arms hotel offer those amenities. Would you like more information on either of these options?
Do either of those have free wifi?|yes. both have WiFi connection
Thanks! What's the phone number?|Alexander bed and breakfast can be reached by phone at 01223525725. Do you want university arms phone also?
Sure. Please give me that one as well.|Ok. that phone number is 01223351241. Would you like me to book you a reservation?
